1393680098.25, 08:21 on Mar 01 201430.8, 53, 30.35, 16, 0.00
1393683698.01, 09:21 on Mar 01 201434.0, 54, 30.37, 19, 0.00
1393687297.2, 10:21 on Mar 01 201437.7, 53, 30.37, 22, 0.00
1393690896.9, 11:21 on Mar 01 201441.7, 53, 30.37, 26, 0.00
1393694496.48, 12:21 on Mar 01 201444.9, 54, 30.37, 29, 0.00
1393698096.13, 13:21 on Mar 01 201448.4, 48, 30.32, 30, 0.00
1393701695.52, 14:21 on Mar 01 201452.8, 49, 30.27, 34, 0.00
1393705295.19, 15:21 on Mar 01 201455.3, 46, 30.25, 35, 0.00
1393708896.95, 16:21 on Mar 01 201455.9, 43, 30.24, 34, 0.00
1393712494.88, 17:21 on Mar 01 201453.2, 48, 30.24, 34, 0.00
1393716094.2, 18:21 on Mar 01 201450.3, 53, 30.23, 34, 0.00
1393719693.75, 19:21 on Mar 01 201447.5, 60, 30.24, 34, 0.00
1393723293.42, 20:21 on Mar 01 201443.6, 70, 30.25, 34, 0.00
1393726892.98, 21:21 on Mar 01 201443.7, 70, 30.25, 35, 0.00
1393730492.58, 22:21 on Mar 01 201441.6, 75, 30.25, 34, 0.00
1393734092.31, 23:21 on Mar 01 201439.6, 79, 30.25, 34, 0.00
1393737691.9, 00:21 on Mar 02 201438.5, 83, 30.24, 34, 0.00
1393741292.23, 01:21 on Mar 02 201437.7, 85, 30.24, 34, 0.00
1393744891.28, 02:21 on Mar 02 201437.1, 86, 30.23, 33, 0.00
1393748491.22, 03:21 on Mar 02 201435.7, 88, 30.19, 32, 0.00
1393752090.62, 04:21 on Mar 02 201434.6, 90, 30.19, 32, 0.00
1393755690.26, 05:21 on Mar 02 201434.5, 92, 30.18, 32, 0.00
1393759289.59, 06:21 on Mar 02 201434.0, 93, 30.20, 32, 0.00
1393762889.38, 07:21 on Mar 02 201434.2, 95, 30.22, 33, 0.00
1393766488.98, 08:21 on Mar 02 201442.2, 84, 30.22, 38, 0.00
1393770088.5, 09:21 on Mar 02 201450.7, 69, 30.22, 41, 0.00
1393773688.21, 10:21 on Mar 02 201457.7, 57, 30.19, 43, 0.00
1393777287.79, 11:21 on Mar 02 201462.9, 52, 30.13, 45, 0.00
1393780887.54, 12:21 on Mar 02 201467.1, 45, 30.10, 45, 0.00
1393784488.89, 13:21 on Mar 02 201469.6, 42, 30.06, 46, 0.00
1393788086.88, 14:21 on Mar 02 201470.9, 39, 30.02, 45, 0.00
1393791686.23, 15:21 on Mar 02 201472.6, 39, 30.01, 46, 0.00
1393795285.88, 16:21 on Mar 02 201470.8, 41, 29.99, 46, 0.00
1393798885.58, 17:21 on Mar 02 201468.6, 45, 29.99, 46, 0.00
1393802485.43, 18:21 on Mar 02 201465.7, 50, 29.98, 46, 0.00
1393806084.91, 19:21 on Mar 02 201463.8, 53, 29.96, 46, 0.00
1393809684.95, 20:21 on Mar 02 201462.7, 55, 29.95, 46, 0.00
1393849172.25, 07:19 on Mar 03 201448.8, 78, 29.86, 42, 0.00
1393852768.75, 08:19 on Mar 03 201443.3, 89, 29.89, 40, 0.00
1393856368.41, 09:19 on Mar 03 201440.7, 91, 29.92, 38, 0.13
1393859969.44, 10:19 on Mar 03 201439.1, 94, 29.95, 38, 0.25
1393863568.13, 11:19 on Mar 03 201436.6, 94, 29.97, 35, 0.05
1393867167.71, 12:19 on Mar 03 201435.1, 94, 30.02, 34, 0.00
1393870767.63, 13:19 on Mar 03 201431.6, 91, 30.02, 29, 0.00
1393874367.61, 14:19 on Mar 03 201430.0, 90, 30.04, 27, 0.00
1393877967.55, 15:19 on Mar 03 201428.9, 92, 30.07, 27, 0.00
1393881566.56, 16:19 on Mar 03 201427.5, 92, 30.10, 26, 0.00
1393885165.8, 17:19 on Mar 03 201425.9, 92, 30.14, 24, 0.00
1393888767.21, 18:19 on Mar 03 201425.0, 90, 30.16, 22, 0.00
1393892367.36, 19:19 on Mar 03 201424.0, 91, 30.19, 22, 0.00
1393895966.55, 20:19 on Mar 03 201423.1, 89, 30.24, 20, 0.00
1393899573.79, 21:19 on Mar 03 201422.7, 90, 30.26, 20, 0.00
1393907552.02, 23:32 on Mar 03 201419.8, 81, 30.30, 15, 0.00
1393911151.78, 00:32 on Mar 04 201418.9, 80, 30.30, 14, 0.00
